phylum;class;order;family;genus;Taxon;Banyuls;;Calanques;Calanques;Calvi;Calvi;Cap Roux;Cap Roux;Porquerolles;Porquerolles;St Florent;St Florent
;;;;;;SPY200468;SPY200474;SPY181699;SPY192310;SPY181149;SPY181150;SPY200806;SPY200807;SPY201239;SPY201241;SPY201216;SPY201263
Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacter;Candidatus Pelagibacter;352;39;1382;895;1786;2420;341;376;1617;1422;1079;1087
Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacter;Candidatus Pelagibacter sp. AAA795-F16;;;;;32;;;;;;;
Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacter;Candidatus Pelagibacter sp. AAA795-M22;;;101;75;;;;;;;;
Proteobacteria;Alphaproteobacteria;Pelagibacterales;Pelagibacteraceae;Pelagibacter;Candidatus Pelagibacter sp. Nan172;;;;;;;118;142;;;;
Proteobacteria;Alphaproteobacteria;Rhizobiales;Aestuariivirgaceae;Aestuariivirga;Aestuariivirga litoralis;;;;;;;19;;;;;
Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Terasakiella;Terasakiella;;;14;13;;;;;;;;
Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Lentilitoribacter;Lentilitoribacter donghaensis;;;;;;;;;11;18;17;14
Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Pseudahrensia;Pseudahrensia;;;;;;;;;;13;;15
Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;;Phyllobacteriaceae;;;;;;;;;;49;75;34
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;Maricaulis;Maricaulis sp. MOLA 148;32;89;;;;;;;;;;
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;;Hyphomonadaceae;;;;;;;;;;;13;
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ahrensia;Ahrensia;;;;;;;;;;16;;
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amylibacter;Amylibacter ulvae;;;;;;;158;89;64;80;;
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Labrenzia;Labrenzia;;;;;;;;;;11;;
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter;Roseobacter sp. 3008;76;200;237;198;1468;2389;114;91;244;277;178;180
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ruegeria;Ruegeria;;;;;;;403;;;;;
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;Rhodobacteraceae;1240;4014;3051;2261;3976;6828;4001;2678;2767;3347;2110;2451
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sandarakinorhabdus;Sandarakinorhabdus;;;;;;;20;11;;;;
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;;Sphingomonadaceae;;;;;;;50;;;;;
Proteobacteria;Alphaproteobacteria;;;;Alphaproteobacteria;;;11;;;17;170;99;27;45;;
Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia;;;557;;;;;;;;;
Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter;Polynucleobacter;;;;;;;30;23;;;;
Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas;;;26;20;;;;;;;;
Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;Rhodoferax;;;;;;;66;29;;;;
Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Simplicispira;Simplicispira;;;16;23;;;;;;;;
Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Variovorax sp. LS10;;;;;;;;;;131;;
Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;;Comamonadaceae;;;2390;2246;;;126;46;;;;
Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Aquaspirillum;Aquaspirillum;;;29;29;;;;;;;;
Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Vitreoscilla;Vitreoscilla filiformis;;;110;134;;;;;;;;
Proteobacteria;Betaproteobacteria;Neisseriales;;;Neisseriales;32;61;17;;;;191;136;12;20;;
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylopumilus;Candidatus Methylopumilus;;;;;;;62;52;;;;
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;Nitrosospira;;;;;;;12;11;;;;
Proteobacteria;Betaproteobacteria;Rhodocyclales;Azonexaceae;Dechloromonas;Dechloromonas;;;52;47;;;;;;;;
Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea;Zoogloea ramigera;;;;11;;;;;;;;
Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter;Arcobacter;;;22;11;;;;;;;;
Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter;Arcobacter sp.;;;;;;;;;11;;;
Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Pseudoarcobacter;Pseudoarcobacter acticola;;;18;20;;;;;;;;
Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;;Campylobacteraceae;;;379;458;;;;;;;;
Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas;;;185;165;;;;;;;;
Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Tolumonas;Tolumonas auensis;;;15;15;;;;;;;;
Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;;Aeromonadaceae;;;;12;;;;;;;;
Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;Alteromonas;;11;;;;;;;;;35;16
Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;Alteromonas sp. TS-2016B;;;15;;;;;;;;;
Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Marinobacter;Marinobacter;;;;;;;;;;;29;
Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;Colwellia aquaemaris;;19;;;;;;;;;;
Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella;;;;;;;;;12;18;;12
Proteobacteria;Gammaproteobacteria;Alteromonadales;;;Alteromonadales;;;15;;;;;;;;31;38
Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;Perspicuibacter;Perspicuibacter marinus;;;;;;;;;;13;;
Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Eionea;Eionea flava;;;23;23;;;;;;;;
Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Saccharophagus;Saccharophagus degradans;;;;;;;;;;;11;12
Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;;Halieaceae;;32;;;;;;;;;;
Proteobacteria;Gammaproteobacteria;Cellvibrionales;Porticoccaceae;Porticoccus;Porticoccus;;14;;;;;34;14;;15;;
Proteobacteria;Gammaproteobacteria;Chromatiales;Granulosicoccaceae;Granulosicoccus;Granulosicoccus;;13;32;29;;;;;13;23;;
Proteobacteria;Gammaproteobacteria;Chromatiales;Granulosicoccaceae;Granulosicoccus;Granulosicoccus sp.;;;;;;;;;;11;;
Proteobacteria;Gammaproteobacteria;Enterobacterales;;;Enterobacterales;;;;12;;;;;;;;
Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella sp. D4522;;;;;;;14;;;;;
Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella sp. S003;;;;;;;13;;;;;
Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylobacter;Methylobacter tundripaludum;;;;;;;14;;;;;
Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;;Methylococcaceae;;;;;;;13;;;;;
Proteobacteria;Gammaproteobacteria;Oceanospirillales;Endozoicomonadaceae;;Endozoicomonadaceae;;16;;;;;;;;;;13
Proteobacteria;Gammaproteobacteria;Oceanospirillales;Hahellaceae;Hahella;Hahella chejuensis;21;77;18;;;;12;12;17;18;41;50
Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Cobetia;Cobetia;;;;;;;;;;;24;
Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;Halomonas;;;;;;;;;;;;15
Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;;Halomonadaceae;;;;;;;;;;;65;57
Proteobacteria;Gammaproteobacteria;Oceanospirillales;Litoricolaceae;Litoricola;Litoricola;;;;;;;;12;;;;
Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinobacterium;Marinobacterium;;;;;;;111;130;;;;
Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinobacterium;Marinobacterium marisflavi;;;;;;;25;21;;;;
Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas;Marinomonas;;;;;;;;;12;11;;
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter;;;91;106;;;33;;;;;
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter junii;;;112;152;;;;;;;;
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter radioresistens;161;542;1232;1083;684;1212;904;744;919;975;1057;1032
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;Psychrobacter;;;;;;;;;;;321;41
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;Psychrobacter celer;;;;;;;;;;;54;12
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas;;;53;46;;;;;;;;
Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Thiomicrospira;Thiomicrospira sp.;;;;;;;11;;;;;
Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Photobacterium;Photobacterium;;;16;;;;;;;;;
Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio;102;567;122;113;114;264;11;17;144;219;59;83
