"","phylum","class","order","family","taxon","Agde_port_1","Agde_port_2","Cannes_Biohut","Cannes_Port_1","Cannes_Port_2","La_Ciotat_Port_1","La_Ciotat_Port_2","Marseillan_Port_1","Marseillan_Port_2","Marseillan_Biohut","Porquerolles_Port_1","Porquerolles_Port_2","Port_Vendre_Port_1","Port_Vendre_Port_2","SMM_Biohut","SMM_Port_1","SMM_Port_2"
"37","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae","Rhodopirellula sp. SM52",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"38","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","Candidatus Pelagibacter",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"39","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","Candidatus Pelagibacter sp. AAA795-M22",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"40","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae","Hellea balneolensis",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter ulvae",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"42","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Nioella sp.",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"43","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Octadecabacter sp. LPB0143",0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
"44","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pacificibacter",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"45","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Phaeobacter sp. 6362",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"46","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"47","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseivivax",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"48","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseobacter sp. 3008",0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0
"49","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseovarius",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"51","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobacter",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"52","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter sp. IMCC5004",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"53","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"54","Proteobacteria","Alphaproteobacteria","-","-","Alphaproteobacteria",1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
"55","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenaceae",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
