Nom du site;;;; Agde Port ; Agde Port ; Cannes Port ; Cannes Port ; La Ciotat Port Zone 1 ; La Ciotat Port Zone 1 ; La Ciotat Port Zone 2 ; La Ciotat Port Zone 2 ; Porquerolles Port  ; Porquerolles Port  ; Port Vendre Port ; Port Vendre Port ; SMM Port  ; SMM Port  
kingdom;phylum;class;order; SPY221741 ; SPY221742 ; SPY221745 ; SPY221746 ; SPY221749 ; SPY221750 ; SPY221751 ; SPY221753 ; SPY221747 ; SPY221748 ; SPY221743 ; SPY221744 ; SPY221739 ; SPY221740 
Chromista;Myzozoa;Dinophyceae;Suessiales;; 355 ; 38 ;; 537 ; 742 ; 102 ; 128 ; 57 ; 102 ;; 12 ; 262 ; 386 
Chromista;Myzozoa;Dinophyceae;Syndiniales; 10 474 ; 5 703 ; 1 461 ; 2 939 ; 10 781 ; 18 636 ; 1 867 ; 2 471 ; 247 ; 835 ; 442 ; 187 ; 4 160 ; 6 149 
Chromista;Myzozoa;Dinophyceae;Thoracosphaerales; 4 367 ; 1 641 ;;;;; 15 ; 16 ;;; 131 ; 69 ; 30 ; 31 
Chromista;Myzozoa;Dinophyceae;-; 31 002 ; 17 458 ; 945 ; 1 696 ; 4 171 ; 3 620 ; 1 067 ; 1 712 ; 1 058 ; 1 645 ; 1 672 ; 1 759 ; 9 146 ; 11 165 
Chromista;Ochrophyta;Bolidophyceae;Parmales;;;; 30 ; 71 ; 73 ; 11 ; 18 ; 65 ; 81 ;;; 78 ; 29 
Chromista;Ochrophyta;Chrysophyceae;Chromulinales;; 34 ;; 48 ; 54 ; 61 ;;; 133 ; 220 ;;; 715 ; 326 
Chromista;Ochrophyta;Eustigmatophyceae;Eustigmatales;;;;;;;;; 43 ; 47 ;;;;
Chromista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;;;;;;;;;;;;; 26 ; 47 
Chromista;Ochrophyta;Phaeophyceae;Ectocarpales;;;;;;;;;;;;; 13 ;
Chromista;Ochrophyta;Pinguiophyceae;Pinguiochrysidales;;;;; 14 ; 17 ;;;; 11 ;;;;
Chromista;Ochrophyta;Raphidophyceae;Chattonellales; 24 ; 21 ;;;;;; 11 ;;;;; 206 ; 355 
Chromista;Ochrophyta;Synurophyceae;Synurales;; 16 ; 16 ; 19 ;;;;; 16 ; 20 ;;; 313 ; 233 
Chromista;Oomycota;Hyphochytriomycetes;-;;;;;;;;;;; 17 ; 11 ;;
Chromista;Radiozoa;Acantharea;Arthracanthida;;;;;;;;;; 12 ;;;;
Fungi;Ascomycota;Dothideomycetes;Dothideales;;;;;;;;;; 11 ;;;;
Fungi;Ascomycota;Dothideomycetes;Mytilinidiales;;;;;;;;;; 11 ;;;;
Fungi;Ascomycota;Dothideomycetes;Pleosporales;;;;; 14 ; 16 ;;; 15 ; 85 ;;;;
Fungi;Ascomycota;Eurotiomycetes;Phaeomoniellales;;;;;;;;; 17 ; 68 ;;;;
Fungi;Ascomycota;Eurotiomycetes;-;;;;;;;;;; 19 ;;;;
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;;;;;;;;;;;;; 132 ; 255 
Fungi;Ascomycota;Sordariomycetes;Diaporthales;;;;;;;;; 25 ; 90 ;;;;
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;;;;;;;;;;;;;; 38 
Fungi;-;-;-;;;;;;;;;; 23 ;;;;
Metazoa;Annelida;Polychaeta;Aspidosiphonidormes;;;;;;;;;;; 479 ; 139 ;;
Metazoa;Annelida;Polychaeta;Capitellida;;; 79 ; 334 ; 141 ; 481 ; 13 ; 16 ; 119 ; 551 ;;;;
Metazoa;Annelida;Polychaeta;Eunicida;;;;;;;;; 23 ; 74 ;;;;
Metazoa;Annelida;Polychaeta;Golfingiida;;;;;;;;;; 19 ;; 15 ;; 48 
Metazoa;Annelida;Polychaeta;Phyllodocida; 41 ; 159 ; 144 ; 243 ; 229 ; 237 ; 270 ; 294 ; 149 ; 516 ; 24 ; 60 ; 82 ; 60 
Metazoa;Annelida;Polychaeta;Sabellida; 150 ; 448 ; 386 ; 852 ; 334 ; 244 ; 75 ; 71 ; 1 132 ; 4 048 ; 51 ; 41 ; 527 ; 239 
Metazoa;Annelida;Polychaeta;Spionida; 125 ; 493 ; 204 ; 513 ; 32 ; 25 ; 63 ;; 95 ; 423 ; 301 ; 541 ; 478 ; 420 
Metazoa;Annelida;Polychaeta;Terebellida; 26 ; 46 ; 25 ; 56 ;;; 24 ; 41 ;; 14 ;; 13 ; 12 ;
Metazoa;Annelida;Polychaeta;-; 12 ; 50 ; 39 ; 80 ; 109 ; 102 ; 114 ; 76 ; 155 ; 509 ; 106 ; 84 ; 130 ; 139 
Metazoa;Arthropoda;Hexanauplia;Calanoida;;; 676 ; 3 572 ; 3 102 ; 704 ; 2 182 ; 3 781 ; 631 ; 2 435 ; 83 658 ; 98 043 ; 529 ; 556 
Metazoa;Arthropoda;Hexanauplia;Cyclopoida; 20 518 ; 53 672 ; 3 067 ; 9 288 ; 109 ; 12 ; 109 ; 91 ; 103 ; 311 ; 19 675 ; 14 798 ;;
Metazoa;Arthropoda;Hexanauplia;Harpacticoida; 478 ; 172 ; 1 769 ; 4 686 ; 898 ; 192 ; 269 ; 451 ; 30 ; 211 ; 461 ; 670 ;; 29 
Metazoa;Arthropoda;Hexanauplia;Kentrogonida; 46 ;;;;;;;;;;;;;
Metazoa;Arthropoda;Hexanauplia;Poecilostomatoida; 43 ; 231 ; 152 ; 253 ; 1 037 ; 676 ; 1 295 ; 1 255 ; 690 ; 1 115 ; 26 ; 20 ; 14 ;
Metazoa;Arthropoda;Hexanauplia;Siphonostomatoida; 13 ; 76 ; 325 ; 546 ; 266 ; 640 ; 1 136 ; 1 268 ; 345 ; 1 130 ; 369 ; 932 ; 14 ; 29 
Metazoa;Arthropoda;Hexanauplia;-;; 57 ; 114 ; 241 ; 596 ; 328 ; 172 ; 396 ; 63 ; 196 ; 100 ; 60 ;; 13 
Metazoa;Arthropoda;Malacostraca;Decapoda;; 142 ;;;;;;;;;;;;
Metazoa;Arthropoda;Ostracoda;Podocopida;; 19 ;;;;;;;;;;;;
Metazoa;Bryozoa;Gymnolaemata;Cheilostomatida;; 24 ;;;;;;;; 46 ;;; 1 112 ; 809 
Metazoa;Bryozoa;Gymnolaemata;Ctenostomatida;;;;; 89 ; 43 ;;;; 11 ;;; 39 ; 22 
Metazoa;Bryozoa;Stenolaemata;Cyclostomatida;;;;; 14 ;;;;;;;;;
Metazoa;Chordata;Appendicularia;Copelata; 24 ; 37 ;; 15 ;;; 187 ; 74 ; 147 ; 530 ; 1 173 ; 1 255 ; 46 ; 63 
Metazoa;Chordata;Ascidiacea;Enterogona;; 32 ; 40 ; 118 ; 150 ; 154 ; 21 ; 44 ; 38 ; 63 ; 31 ; 40 ; 271 ; 202 
Metazoa;Chordata;Ascidiacea;Stolidobranchia;; 24 ;; 19 ; 130 ; 113 ; 47 ; 63 ; 26 ; 49 ; 57 ; 55 ; 1 562 ; 1 324 
Metazoa;Chordata;Ascidiacea;-;;;;; 14 ; 18 ; 11 ;; 16 ; 37 ;;;;
Metazoa;Chordata;-;-;; 33 ; 32 ; 51 ; 276 ; 292 ; 43 ; 38 ; 18 ; 38 ;;; 400 ; 354 
Metazoa;Cnidaria;Anthozoa;Actiniaria;;; 44 ;;;;;;;;;;;
Metazoa;Cnidaria;Anthozoa;-;;;; 50 ; 15 ; 14 ; 57 ; 199 ;;;;; 30 ; 122 
Metazoa;Cnidaria;Hydrozoa;Anthoathecata;;;; 81 ; 167 ; 280 ; 31 ; 18 ; 519 ; 316 ; 52 ; 21 ; 77 ; 16 
Metazoa;Cnidaria;Hydrozoa;Leptothecata;;;;; 19 ; 20 ; 11 ;; 45 ;;;;; 40 
Metazoa;Cnidaria;Hydrozoa;Siphonophorae;;;;;;;;;;;; 303 ;;
Metazoa;Cnidaria;Hydrozoa;Trachymedusae;;;;;;;; 13 ;;;;;;
Metazoa;Cnidaria;Hydrozoa;-;;;;;;;;;;; 428 ;;;
Metazoa;Echinodermata;Echinoidea;-;;;;;;;; 41 ;;; 285 ; 133 ;; 15 
Metazoa;Echinodermata;Holothuroidea;Apodida;;; 11 ; 20 ;; 18 ;;;;; 1 283 ; 915 ; 70 ;
Metazoa;Echinodermata;Ophiuroidea;-;;;;;;;;;;; 33 ; 19 ;;
Metazoa;Hemichordata;Enteropneusta;-;;;;;;;;;;; 18 ;;; 14 
Metazoa;Mollusca;Bivalvia;Arcoida;;;;; 417 ; 557 ; 21 ; 477 ; 34 ; 130 ;;;;
Metazoa;Mollusca;Bivalvia;Limoida;;;; 30 ; 18 ;; 15 ;; 29 ; 97 ; 172 ; 222 ; 123 ; 82 
Metazoa;Mollusca;Bivalvia;Lucinoida;;; 79 ; 71 ; 11 561 ; 9 369 ; 938 ; 831 ; 2 202 ; 4 626 ; 95 ; 47 ;;
Metazoa;Mollusca;Bivalvia;Myoida;;;; 11 ;;;;;;;; 11 ; 12 ;
Metazoa;Mollusca;Bivalvia;Mytiloida;; 14 ; 11 ; 89 ;; 16 ;; 19 ; 18 ;; 338 ; 84 ; 291 ; 542 
Metazoa;Mollusca;Bivalvia;Ostreoida;;; 93 ; 301 ; 578 ; 483 ;;; 564 ; 1 546 ;; 39 ;;
Metazoa;Mollusca;Bivalvia;Pectinoida;;;;;;;; 29 ; 11 ; 37 ; 53 ; 165 ; 397 ; 1 967 
Metazoa;Mollusca;Bivalvia;Pholadomyoida;;;;;;;;;;; 21 ;;; 349 
Metazoa;Mollusca;Bivalvia;Solemyoida;;;;;;;;;; 11 ;;;;
Metazoa;Mollusca;Bivalvia;Veneroida; 565 ; 928 ; 330 ; 698 ; 210 ; 245 ; 119 ; 186 ; 788 ; 893 ; 1 031 ; 1 039 ; 633 ; 1 385 
Metazoa;Mollusca;Bivalvia;-;; 54 ; 45 ; 120 ; 298 ; 1 198 ; 814 ; 1 200 ; 79 ; 272 ; 491 ; 889 ; 3 520 ; 2 823 
Metazoa;Mollusca;Gastropoda;Acochlidiacea;;;;;;;; 17 ;;;;;;
Metazoa;Mollusca;Gastropoda;Aplysiida;;;;;;;;;;;;; 22 ; 12 
Metazoa;Mollusca;Gastropoda;Cephalaspidea;;;;;;;;;;;;;; 17 
Metazoa;Mollusca;Gastropoda;Pteropoda;;;;;;;; 11 ;;;;;;
Metazoa;Mollusca;Gastropoda;Trochida;;;;;;;;;;;;;; 90 
Metazoa;Mollusca;Gastropoda;Umbraculida; 15 ; 42 ; 14 ; 70 ; 137 ; 17 ; 22 ; 50 ;; 47 ;; 20 ;;
Metazoa;Mollusca;Gastropoda;-; 23 ; 151 ; 57 ; 69 ; 720 ; 451 ; 365 ; 450 ; 46 ; 91 ; 125 ; 110 ; 287 ; 214 
Metazoa;Mollusca;Polyplacophora;Chitonida;;;;;;;;;;; 152 ;;; 14 
Metazoa;Nemertea;Enopla;Monostilifera;; 40 ;;; 11 ; 24 ; 231 ; 12 ; 43 ; 32 ;; 15 ; 39 ; 17 
Metazoa;Nemertea;Enopla;-;;; 28 ; 44 ; 58 ; 18 ; 12 ; 42 ; 34 ; 43 ; 115 ; 117 ;;
Metazoa;Nemertea;Palaeonemertea;-;;;;;;; 16 ; 16 ;; 13 ;;;;
Metazoa;Nemertea;Pilidiophora;Heteronemertea;;;; 31 ;; 17 ; 29 ;; 30 ; 60 ;;;; 13 
Metazoa;Platyhelminthes;Monogenea;Gyrodactylidea;;;; 15 ;;;;;;;;;;
Metazoa;Platyhelminthes;Rhabditophora;Macrostomida;;;;; 131 ;;;;;;;;;
Metazoa;Platyhelminthes;Rhabditophora;Polycladida;; 13 ; 79 ; 131 ;; 415 ;; 36 ;; 15 ;; 16 ;; 19 
Metazoa;Platyhelminthes;Rhabditophora;Prolecithophora;;;;;;;;;;;;; 41 ;
Metazoa;Platyhelminthes;Trematoda;Opisthorchiida;;;;;;; 24 ;;;;;;;
Metazoa;Platyhelminthes;Trematoda;Plagiorchiida;; 16 ;;;;;;;;;;;;
Metazoa;Porifera;Calcarea;Lithonida;;; 12 ; 15 ; 60 ; 39 ; 55 ; 61 ; 26 ; 45 ;;;;
Metazoa;Porifera;Demospongiae;Axinellida;;;;;;;; 25 ;;;;;;
Metazoa;Porifera;Demospongiae;Poecilosclerida;;;;;;;;;;; 50 ; 41 ;;
Metazoa;Porifera;Demospongiae;-; 12 ; 36 ;;; 87 ; 95 ;;; 60 ; 98 ; 81 ; 23 ; 89 ; 90 
Metazoa;Rotifera;Monogononta;Ploima;;; 801 ; 3 145 ;;;;; 14 ; 24 ;;;;
Metazoa;Rotifera;Monogononta;-;;;;;;;;;; 17 ;;;;
Metazoa;Xenacoelomorpha;-;Nemertodermatida;;; 16 ; 14 ;;;;;;;;;;
NA;Picozoa;Picomonadea;Picomonadida; 14 ; 76 ;; 28 ; 74 ; 70 ; 31 ; 26 ; 342 ; 648 ; 35 ; 17 ; 142 ; 320 
Protozoa;Choanozoa;Choanoflagellata;Acanthoecida;; 27 ; 38 ; 67 ; 49 ; 45 ;;; 72 ; 118 ; 11 ;; 24 ; 14 
Protozoa;Choanozoa;Choanoflagellata;Craspedida;;;;; 21 ; 21 ;;;;;;;;
Protozoa;Choanozoa;Choanoflagellata;-;;;;;;;;;;;;;; 14 
Viridiplantae;Chlorophyta;Mamiellophyceae;Dolichomastigales;;;;; 108 ; 75 ;; 23 ;;;;; 333 ; 293 
Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales; 492 ; 1 375 ; 736 ; 1 294 ; 5 325 ; 6 139 ; 1 436 ; 1 691 ; 2 898 ; 4 597 ; 47 ; 30 ; 4 523 ; 3 414 
Viridiplantae;Chlorophyta;Nephroselmidophyceae;Nephroselmidales; 17 ; 36 ;; 12 ;;;;;;;;;;
Viridiplantae;Chlorophyta;Palmophyllophyceae;Prasinococcales;;; 89 ; 118 ; 174 ; 192 ; 36 ; 42 ; 65 ; 90 ;;; 66 ; 70 
Viridiplantae;Chlorophyta;Pyramimonadophyceae;Pyramimonadales; 326 ; 685 ; 223 ; 394 ; 8 558 ; 10 605 ; 1 746 ; 1 672 ; 391 ; 532 ; 101 ; 69 ; 691 ; 2 074 
Viridiplantae;Chlorophyta;Ulvophyceae;Dasycladales; 58 ; 20 ;;;;;;;;;;;;
Viridiplantae;Chlorophyta;-;-;;;;; 18 ; 13 ;;;;;;; 123 ; 135 
Viridiplantae;Streptophyta;Magnoliopsida;Poales;;;;;;;;;;;;; 941 ; 196 
Total après filtres;;;; 91 722 ; 116 717 ; 32 990 ; 68 572 ; 101 955 ; 110 565 ; 37 944 ; 46 656 ; 45 952 ; 69 761 ; 123 273 ; 131 236 ; 117 725 ; 116 667 
