kingdom,phylum,class,order,Agde_port_1,Agde_port_2,Cannes_Biohut,Cannes_Port_1,Cannes_Port_2,La_Ciotat_Port_1,La_Ciotat_Port_2,Marseillan_Port_1,Marseillan_Port_2,Marseillan_Biohut,Porquerolles_Port_1,Port_Vendre_Port_1,SMM_Biohut,SMM_Port_1 ,SMM_Port_2 
kingdom,phylum,class,order,SPY213513,SPY213520,SPY213515,SPY213512,SPY213516,SPY213514,SPY213517,SPY202505,SPY202519,SPY202520,SPY213519,SPY213523,SPY213518,SPY213521,SPY213522
Chromista,Myzozoa,Dinophyceae,Thoracosphaerales,,,11,,,,,15,,,,,,,
Chromista,Ochrophyta,Bolidophyceae,Parmales,22,21,76,28,19,141,97,39,26,,36,52,82,45,33
Chromista,Ochrophyta,Chrysophyceae,Chromulinales,,,76,22,,101,36,39,23,,636,81,1365,751,858
Chromista,Ochrophyta,Cryptophyceae,-,652,713,42,50,48,628,452,2068,1290,869,221,2259,2230,2289,1898
Chromista,Ochrophyta,Cryptophyceae,Cryptomonadales,978,883,,,,31,28,68,35,42,45,56,448,564,342
Chromista,Ochrophyta,Cryptophyceae,Kathablepharidacea,,,,,,71,24,358,245,115,11,150,41,54,37
Chromista,Ochrophyta,Cryptophyceae,Pyrenomonadales,1546,1348,145,121,44,2475,2019,1992,1197,634,388,1518,570,276,391
Chromista,Ochrophyta,Pelagophyceae,Sarcinochrysidales,,,,,,,,104,70,30,,23,,,
Chromista,Ochrophyta,Phaeophyceae,Dictyotales,,,,,,,,,,,,,13,,
Chromista,Ochrophyta,Raphidophyceae,Chattonellales,,,,,,12,,54,48,,,34,,,
Chromista,Ochrophyta,Synurophyceae,Synurales,,,12,,,,,41,31,11,14,26,24,,13
Chromista,Oomycota,Oomycetes,-,,,,,,31,,,,,,38,,,
Chromista,Oomycota,Oomycetes,Lagenidiales,,,,,,229,150,80,36,31,,,13,,
Chromista,Oomycota,Oomycetes,Myzocytiopsidales,,,,,,16,,,,,,,,,
Chromista,Oomycota,Oomycetes,Olpidiopsidales,,,,,,30,20,,,,,,,,
Chromista,Radiozoa,Acantharea,Arthracanthida,,,,17,,15,16,,,,,,,,
Chromista,Radiozoa,Acantharea,Symphyacanthida,,,,,,,,,,,,11,,,
Chromista,Radiozoa,Polycystinea,Collodaria,,,,,,346,166,,,,,,,,
Fungi,-,-,-,,,,,,35,,,,,,,,,
Fungi,Ascomycota,-,-,,,,,,43,20,,,,,,,,
