phylum,class,order,SPY213513,SPY213520,SPY213515,SPY213512,SPY213516,SPY213514,SPY213517,SPY202505,SPY202519,SPY202520,SPY213519,SPY213523,SPY213518,SPY213521,SPY213522
-,-,-,,,,,,35,,,,,,,,,
Ascomycota,-,-,,,,,,43,20,,,,,,,,
Ascomycota,Dothideomycetes,Mytilinidiales,,,,,,11,,,,,,,,,
Ascomycota,Dothideomycetes,Pleosporales,,,24,24,,163,40,,,,,,,,
Ascomycota,Eurotiomycetes,Phaeomoniellales,,,,,,35,12,,,,,,,,
Chytridiomycota,Chytridiomycetes,Rhizophydiales,29,37,,,,29,24,,,,,19,,,
Annelida,Polychaeta,-,,13,428,,12,12,27,86,355,80,,221,14,,
Annelida,Polychaeta,Aspidosiphonidormes,,,296,,,30,,,,,,,,,
Annelida,Polychaeta,Capitellida,,,,54,91,44,25,94,13,,20,,,,27
Annelida,Polychaeta,Eunicida,,,,29,18,209,97,,,,,,,11,
Annelida,Polychaeta,Phyllodocida,,,108,28,16,181,91,39,131,23,63,,12,,
Annelida,Polychaeta,Sabellida,157,167,1003,201,91,1103,564,1089,1101,795,283,207,740,381,592
Annelida,Polychaeta,Spionida,189,144,56,67,38,804,189,1160,899,153,739,61,753,1601,405
Annelida,Polychaeta,Terebellida,298,331,451,38,,359,258,102,79,48,263,2193,,,
Arthropoda,Hexanauplia,-,18,22,130,28,32,84,205,270,22,97,28,136,41,241,
Arthropoda,Hexanauplia,Calanoida,1140,1743,30910,10127,3264,3980,3803,54364,38077,31047,53,24567,1437,240,380
Arthropoda,Hexanauplia,Cyclopoida,44684,59975,84934,184112,98681,3928,3177,18490,12794,7714,540,27494,16080,17526,11500
Arthropoda,Hexanauplia,Harpacticoida,2130,2618,3342,1816,589,433,478,30535,27935,18969,515,1606,11178,2088,2774
Arthropoda,Hexanauplia,Poecilostomatoida,33,103,522,119,77,334,141,88,92,86,526,237,412,111,135
Arthropoda,Hexanauplia,Siphonostomatoida,72,94,748,182,91,2013,1286,159,445,339,,2460,70,287,124
Bryozoa,-,-,,,21,19,,,,,,,,,,,
Bryozoa,Gymnolaemata,Cheilostomatida,19,,16,17,17,12,,112,43,,,,13,16,
Bryozoa,Gymnolaemata,Ctenostomatida,,,,,,,,77,80,,,,11,63,11
Bryozoa,Stenolaemata,Cyclostomatida,,,13,,,137,78,51,34,,,,,,
Chordata,-,-,17,,,,,52,38,,,,,,37,26,25
Chordata,Actinopteri,Blenniiformes,,,15,,,,,,,,,,,,
Chordata,Actinopteri,Tetraodontiformes,,,13,,,,,81,51,16,,113,150,85,102
Chordata,Appendicularia,Copelata,1165,1250,1746,2338,2044,697,97,2464,836,503,,122,46,,
Chordata,Ascidiacea,-,,,21,,,34,14,,12,,,,,,
Chordata,Ascidiacea,Enterogona,50,26,314,250,181,389,238,506,495,64,392,210,113,78,103
Chordata,Ascidiacea,Stolidobranchia,83,41,560,31,30,299,167,998,2525,175,27,485,541,1332,595
Cnidaria,Anthozoa,-,,,,,,25,23,1446,1179,1758,,494,73,,27
Cnidaria,Anthozoa,Actiniaria,33,43,336,1514,758,,,170,276,307,,232,,,16
Cnidaria,Anthozoa,Alcyonacea,,,,,,,,,,,,38,,,
Cnidaria,Hydrozoa,Anthoathecata,,31,54,230,57,378,228,546,1435,248,13,323,50,53,15
Cnidaria,Hydrozoa,Leptothecata,,,,,,31,72,79,13,,152,,17,19,
Cnidaria,Hydrozoa,Narcomedusae,,,,51,,,,,,,,,,,
Cnidaria,Scyphozoa,Rhizostomeae,,,,,,,,49,,11,,,,,
Echinodermata,Crinoidea,Comatulida,,,,,,,,36,,,,,,,
Gastrotricha,-,Chaetonotida,,,,,,,,,,,,,,11,
Mollusca,Bivalvia,-,,,,24,,22,20,,12,,,,13,,
Mollusca,Bivalvia,Limoida,,,30,36,21,284,155,493,3487,,13,,,,
Mollusca,Bivalvia,Myoida,,,,,,11,,,,11,,39,44,,
Mollusca,Bivalvia,Mytiloida,41,52,12,,,360,54,464,326,177,,,881,634,365
Mollusca,Bivalvia,Ostreoida,,,358,70,50,687,142,13,32,,85,,,,
Mollusca,Bivalvia,Pectinoida,,,12,,,107,80,3027,4628,41,,57,145,59,63
Mollusca,Bivalvia,Solemyoida,,,,,,,,,,,51,,,,
Mollusca,Bivalvia,Veneroida,892,2034,144,247,156,1026,553,3194,1506,365,90,74,146,87,27
Mollusca,Gastropoda,-,,50,11,,34,49,84,495,369,111,,,109,152,21
Mollusca,Gastropoda,Acochlidiacea,,,,,,45,,,,,,,36,,
Mollusca,Gastropoda,Cephalaspidea,17,11,24,,,,,15,18,34,11,,,26,
Mollusca,Gastropoda,Pteropoda,,,,,,88,36,,,,,,,,
Mollusca,Gastropoda,Trochida,,,,,,19,31,27,25,42,,,,,
Mollusca,Gastropoda,Umbraculida,24,20,63,52,60,125,56,,,,,,63,31,15
Mollusca,Polyplacophora,Chitonida,,,,,,1033,107,,,,,,,,
Nematoda,Chromadorea,Chromadorida,,,,,,25,,,,,,,,,
Nematoda,Enoplea,Enoplida,,,,,,,,,14,,,,,,
Nemertea,Enopla,-,,,92,38,19,58,28,22,,32,132,355,,13,
Nemertea,Enopla,Monostilifera,,13,402,18,25,,,73,349,131,23,28,69,,
Nemertea,Palaeonemertea,-,,,,20,,11,,,17,,,,,,
Nemertea,Pilidiophora,Heteronemertea,,,,,,,,51,52,18,,23,,,
Platyhelminthes,Monogenea,Dactylogyridea,,,,,,,,18,,,,,,,
