"class_order","SPY213513","SPY213520","SPY213515","SPY213512","SPY213516","SPY213514","SPY213517","SPY202505","SPY202519","SPY202520","SPY213519","SPY213523","SPY213518","SPY213521","SPY213522","SPY221741","SPY221742","SPY221745","SPY221746","SPY221749","SPY221750","SPY221751","SPY221753","SPY221747","SPY221748","SPY221743","SPY221744","SPY221739","SPY221740"
"Dinophyceae_Coccidiniales",0,0,0,15,0,0,0,26,16,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dinophyceae_Dinophysiales",48,39,22,23,13,405,196,83,77,31,1009,90,0,0,0,0,0,12,0,17,19,44,65,138,214,324,326,37,71
"Dinophyceae_Gonyaulacales",328,306,346,410,236,253,196,1336,916,515,532,667,42,17,21,0,0,202,577,418,284,37,87,246,512,0,0,0,0
"Dinophyceae_Gymnodiniales",0,0,516,465,225,3196,3051,5334,3296,1696,2640,3043,604,213,358,571,689,0,0,0,0,0,0,0,0,0,0,0,0
"Dinophyceae_Oxyrrhinales",0,0,0,0,0,0,0,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dinophyceae_Peridiniales",48,72,691,1062,795,818,622,1731,1041,648,1561,1239,168,75,64,0,751,601,0,914,818,335,660,476,440,760,894,0,0
"Dinophyceae_Suessiales",29,0,29,0,11,2161,2324,231,134,98,142,96,29,15,19,0,355,38,0,537,742,102,128,57,102,0,12,262,386
"Dinophyceae_Syndiniales",1508,1558,821,912,325,4849,2394,7683,5850,3434,1675,1951,584,428,307,0,0,0,0,0,0,0,0,247,835,442,187,0,0
"Dinophyceae_Thoracosphaerales",0,0,11,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,131,69,30,31
"Bolidophyceae_Parmales",22,21,76,28,19,141,97,39,26,0,36,52,82,45,33,0,0,0,30,71,73,11,18,65,81,0,0,78,29
"Chrysophyceae_Chromulinales",0,0,76,22,0,101,36,39,23,0,636,81,1365,751,858,0,34,0,48,54,61,0,0,133,220,0,0,715,326
"Cryptophyceae_NA",652,713,42,50,48,628,452,2068,1290,869,221,2259,2230,2289,1898,114,374,562,0,0,0,0,0,0,0,25,0,702,667
"Cryptophyceae_Cryptomonadales",978,883,0,0,0,31,28,68,35,42,45,56,448,564,342,158,476,104,134,0,0,650,569,123,253,0,0,27,19
"Cryptophyceae_Kathablepharidacea",0,0,0,0,0,71,24,358,245,115,11,150,41,54,37,0,0,0,0,26,28,0,11,0,0,85,69,22,73
"Cryptophyceae_Pyrenomonadales",1546,1348,145,121,44,2475,2019,1992,1197,634,388,1518,570,276,391,0,0,0,0,0,0,0,0,0,0,188,164,0,0
"Pelagophyceae_Sarcinochrysidales",0,0,0,0,0,0,0,104,70,30,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,47
"Phaeophyceae_Dictyotales",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raphidophyceae_Chattonellales",0,0,0,0,0,12,0,54,48,0,0,34,0,0,0,24,21,0,0,0,0,0,11,0,0,0,0,206,355
"Synurophyceae_Synurales",0,0,12,0,0,0,0,41,31,11,14,26,24,0,13,0,16,16,19,0,0,0,0,16,20,0,0,313,233
"Oomycetes_NA",0,0,0,0,0,31,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oomycetes_Lagenidiales",0,0,0,0,0,229,150,80,36,31,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oomycetes_Myzocytiopsidales",0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oomycetes_Olpidiopsidales",0,0,0,0,0,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acantharea_Arthracanthida",0,0,0,17,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"Acantharea_Symphyacanthida",0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polycystinea_Collodaria",0,0,0,0,0,346,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dothideomycetes_Mytilinidiales",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"Dothideomycetes_Pleosporales",0,0,24,24,0,163,40,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,15,85,0,0,0,0
"Eurotiomycetes_Phaeomoniellales",0,0,0,0,0,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,68,0,0,0,0
"Chytridiomycetes_Rhizophydiales",29,37,0,0,0,29,24,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polychaeta_NA",0,13,428,0,12,12,27,86,355,80,0,221,14,0,0,12,50,39,80,109,102,114,76,155,509,106,84,130,139
"Polychaeta_Aspidosiphonidormes",0,0,296,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,139,0,0
"Polychaeta_Capitellida",0,0,0,54,91,44,25,94,13,0,20,0,0,0,27,0,0,79,334,141,481,13,16,119,551,0,0,0,0
"Polychaeta_Eunicida",0,0,0,29,18,209,97,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,23,74,0,0,0,0
"Polychaeta_Phyllodocida",0,0,108,28,16,181,91,39,131,23,63,0,12,0,0,41,159,144,243,229,237,270,294,149,516,24,60,82,60
"Polychaeta_Sabellida",157,167,1003,201,91,1103,564,1089,1101,795,283,207,740,381,592,150,448,386,852,334,244,75,71,0,0,51,41,527,239
"Polychaeta_Spionida",189,144,56,67,38,804,189,1160,899,153,739,61,753,1601,405,125,493,204,513,32,25,63,0,95,423,301,541,478,420
"Polychaeta_Terebellida",298,331,451,38,0,359,258,102,79,48,263,2193,0,0,0,26,46,25,56,0,0,24,41,0,14,0,13,12,0
"Hexanauplia_NA",18,22,130,28,32,84,205,270,22,97,28,136,41,241,0,0,57,114,241,596,328,172,396,63,196,100,60,0,13
"Hexanauplia_Calanoida",1140,1743,30910,10127,3264,3980,3803,54364,38077,31047,53,24567,1437,240,380,0,0,676,0,0,704,0,0,631,0,0,0,529,556
"Hexanauplia_Cyclopoida",44684,59975,84934,184112,98681,3928,3177,18490,12794,7714,540,27494,16080,17526,11500,0,0,0,0,109,12,109,91,103,311,0,0,0,0
"Hexanauplia_Harpacticoida",2130,2618,3342,1816,589,433,478,30535,27935,18969,515,1606,11178,2088,2774,478,172,0,0,898,192,269,451,30,211,461,670,0,29
"Hexanauplia_Poecilostomatoida",33,103,522,119,77,334,141,88,92,86,526,237,412,111,135,43,231,152,253,0,676,0,0,690,0,26,20,14,0
"Hexanauplia_Siphonostomatoida",72,94,748,182,91,2013,1286,159,445,339,0,2460,70,287,124,13,76,325,546,266,640,0,0,345,0,369,932,14,29
"Gymnolaemata_Cheilostomatida",19,0,16,17,17,12,0,112,43,0,0,0,13,16,0,0,24,0,0,0,0,0,0,0,46,0,0,0,809
"Gymnolaemata_Ctenostomatida",0,0,0,0,0,0,0,77,80,0,0,0,11,63,11,0,0,0,0,89,43,0,0,0,11,0,0,39,22
"Stenolaemata_Cyclostomatida",0,0,13,0,0,137,78,51,34,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"Actinopteri_Blenniiformes",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopteri_Tetraodontiformes",0,0,13,0,0,0,0,81,51,16,0,113,150,85,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Appendicularia_Copelata",1165,1250,1746,2338,2044,697,97,2464,836,503,0,122,46,0,0,24,37,0,15,0,0,187,74,147,530,0,0,46,63
"Ascidiacea_NA",0,0,21,0,0,34,14,0,12,0,0,0,0,0,0,0,0,0,0,14,18,11,0,16,37,0,0,0,0
"Ascidiacea_Enterogona",50,26,314,250,181,389,238,506,495,64,392,210,113,78,103,0,32,40,118,150,154,21,44,38,63,31,40,271,202
"Ascidiacea_Stolidobranchia",83,41,560,31,30,299,167,998,2525,175,27,485,541,1332,595,0,24,0,19,130,113,47,63,26,49,57,55,0,0
"Anthozoa_NA",0,0,0,0,0,25,23,1446,1179,1758,0,494,73,0,27,0,0,0,50,15,14,57,199,0,0,0,0,30,122
"Anthozoa_Actiniaria",33,43,336,1514,758,0,0,170,276,307,0,232,0,0,16,0,0,44,0,0,0,0,0,0,0,0,0,0,0
"Anthozoa_Alcyonacea",0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrozoa_Anthoathecata",0,31,54,230,57,378,228,546,1435,248,13,323,50,53,15,0,0,0,81,167,280,31,18,519,316,52,21,77,16
"Hydrozoa_Leptothecata",0,0,0,0,0,31,72,79,13,0,152,0,17,19,0,0,0,0,0,19,20,11,0,45,0,0,0,0,40
"Hydrozoa_Narcomedusae",0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scyphozoa_Rhizostomeae",0,0,0,0,0,0,0,49,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crinoidea_Comatulida",0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA_Chaetonotida",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bivalvia_NA",0,0,0,24,0,22,20,0,12,0,0,0,13,0,0,0,54,45,120,298,0,814,0,79,272,491,889,0,0
"Bivalvia_Limoida",0,0,30,36,21,284,155,493,3487,0,13,0,0,0,0,0,0,0,30,18,0,15,0,29,97,172,222,123,82
"Bivalvia_Myoida",0,0,0,0,0,11,0,0,0,11,0,39,44,0,0,0,0,0,11,0,0,0,0,0,0,0,11,12,0
"Bivalvia_Mytiloida",41,52,12,0,0,360,54,464,326,177,0,0,881,634,365,0,14,11,89,0,16,0,19,18,0,338,84,291,542
"Bivalvia_Ostreoida",0,0,358,70,50,687,142,13,32,0,85,0,0,0,0,0,0,93,301,578,483,0,0,564,0,0,39,0,0
"Bivalvia_Pectinoida",0,0,12,0,0,107,80,3027,4628,41,0,57,145,59,63,0,0,0,0,0,0,0,29,11,37,53,165,397,0
"Bivalvia_Solemyoida",0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"Bivalvia_Veneroida",892,2034,144,247,156,1026,553,3194,1506,365,90,74,146,87,27,565,928,330,698,210,245,119,186,788,893,0,0,633,0
"Gastropoda_NA",0,50,11,0,34,49,84,495,369,111,0,0,109,152,21,23,151,57,69,720,451,365,450,46,91,125,110,287,214
"Gastropoda_Acochlidiacea",0,0,0,0,0,45,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
"Gastropoda_Cephalaspidea",17,11,24,0,0,0,0,15,18,34,11,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"Gastropoda_Pteropoda",0,0,0,0,0,88,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"Gastropoda_Trochida",0,0,0,0,0,19,31,27,25,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
"Gastropoda_Umbraculida",24,20,63,52,60,125,56,0,0,0,0,0,63,31,15,15,42,14,70,137,17,22,50,0,47,0,20,0,0
"Polyplacophora_Chitonida",0,0,0,0,0,1033,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,14
"Chromadorea_Chromadorida",0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enoplea_Enoplida",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enopla_NA",0,0,92,38,19,58,28,22,0,32,132,355,0,13,0,0,0,28,44,58,18,12,42,34,43,115,117,0,0
"Enopla_Monostilifera",0,13,402,18,25,0,0,73,349,131,23,28,69,0,0,0,40,0,0,11,24,231,12,43,32,0,15,39,17
"Palaeonemertea_NA",0,0,0,20,0,11,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,13,0,0,0,0
"Pilidiophora_Heteronemertea",0,0,0,0,0,0,0,51,52,18,0,23,0,0,0,0,0,0,31,0,17,29,0,30,60,0,0,0,13
"Monogenea_Dactylogyridea",0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhabditophora_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhabditophora_Macrostomida",0,0,0,0,0,0,16,0,17,0,0,0,0,0,21,0,0,0,0,131,0,0,0,0,0,0,0,0,0
"Rhabditophora_Polycladida",1568,460,115,736,75,0,0,15,0,0,0,0,75,89,32,0,13,79,131,0,415,0,36,0,15,0,16,0,19
"Rhabditophora_Prolecithophora",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
"Rhabditophora_Proseriata",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhabditophora_Rhabdocoela",0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trematoda_Opisthorchiida",0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
"Calcarea_NA",0,0,0,0,0,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calcarea_Clathrinida",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calcarea_Lithonida",25,16,18,0,0,37,29,28,24,0,25,15,0,0,0,0,0,12,15,60,39,55,61,26,45,0,0,0,0
"Demospongiae_NA",24,16,231,0,0,138,91,69,43,38,58,0,24,11,0,12,36,0,0,87,95,0,0,60,98,81,23,89,90
