"","Total species richness _coef","Total species richness _pval","Cryptobenthic species richness _coef","Cryptobenthic species richness _pval","Threatened species richness _coef","Threatened species richness _pval","Commercial species richness _coef","Commercial species richness _pval"
"(Intercept)",46.8701754523992,0,12.777913682936,0,-0.356677798378779,0.73816063342363,12.6994256680385,0
"ReserveY",-2.0934158794084,0.989515528284065,-1.7064276975844,0.799492585768648,-1.60274734536703e-06,1,1.45863194357012,0.753896596712984
"ConfinementLockdown",-9.19376708395892,0.196534909481876,-5.19441835206752,0.00397613681047471,-1.25276324349623,0.337898852954675,-2.83722510077607,0.110412751565018
"PortY",6.10687633813684,0.552045786322516,0.900856013726305,0.961654840154893,1.71122007070298,0.0679911548605965,5.93852133379933,0.000151532200730609
"ReserveY:ConfinementLockdown",-1.79228876629665,0.998302887270561,-0.432491530999927,0.999550966476396,0.916292119933124,0.751474125459296,-1.20691897296089,0.929128658714368
