code_spygen;code_explo;rep;date;station;site;country;project;habitat;sample_method;time_start;time_end;duration_min;volume;depth_sampling;depth;gps_start;latitude_start;longitude_start;track name;filter;Pompe;sampler;data_manager;gps_owner;comments;;
SPY221749;;1;30/6/2022;La Ciotat Nouveau Port;La Ciotat;France;MedPorteDNA;Port;Transect_kayak;10:14;10:44;30;30;0;;551;;;;;P?;Loic Sanchez;Lola Romant ;MARBEC;Zone 1. Plomb coincé dans les cordes d'un bateau. Faux depart;;
SPY221750;;2;30/6/2022;La Ciotat Nouveau Port;La Ciotat;France;MedPorteDNA;Port;Transect_kayak;11:02;11:32;30;30;0;;572;;;;;P?;Loic Sanchez;Lola Romant ;MARBEC;Zone 1;;
SPY221751;;1;30/6/2022;La Ciotat Nouveau Port;La Ciotat;France;MedPorteDNA;Port;Transect_kayak;12:15;12:45;30;30;0;;594;;;;;P?;Lola Romant ;Lola Romant ;MARBEC;Zone 2. Barracuda juvéniles ? Faux départ ;;
SPY221753;;2;30/6/2022;La Ciotat Nouveau Port;La Ciotat;France;MedPorteDNA;Port;Transect_kayak;12:52;13:22;30;30;0;;609;;;;;P?;Cyril Hautecoeur;Lola Romant ;MARBEC;Zone 2. Barracuda Juvéniles?;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
