"scientific_name","SPY213513","SPY213520","SPY221741","SPY221742","SPY213515","SPY213512","SPY213516","SPY221745","SPY221746","SPY213514","SPY213517","SPY221749","SPY221750","SPY221751","SPY221753","SPY202505","SPY202519","SPY202520","SPY213519","SPY213527","SPY221747","SPY221748","SPY213523","SPY213525","SPY221743","SPY221744","SPY213518","SPY213521","SPY213522","SPY221739","SPY221740"
"E._gurnardus_T._lyra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"Arnoglossus_laterna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,0,1,2,2
"Pleuronectidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"Scophthalmus_rhombus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,3,4,3
"Pegusa_nasuta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,11,12
"Solea_senegalensis",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,8,4,8,10,12
"Solea_solea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,1,0,0,0,5,3,5,10,9
"Salmo_salar",0,0,0,0,1,0,0,11,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Pomatomus_saltatrix",1,1,0,0,1,2,2,3,4,0,2,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,4,5
"Auxis_sp.",0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euthynnus_alletteratus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0
"Sarda_sarda",2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,12,0,0,0,0,0,0,0
"Scomber_colias",0,0,0,0,0,0,0,1,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Scomber_scombrus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,5,6,12,12,9,2,4,11,12
"Thunnus_thynnus",0,0,0,0,0,0,1,0,0,6,8,0,0,0,0,0,0,0,6,0,0,0,12,12,0,0,4,3,6,0,0
"Silurus_glanis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Spicara_maena",0,0,0,0,0,0,0,4,1,1,7,0,0,6,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"Spicara_flexuosa_S_smaris",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,10,12,1,0,0,0,0
"B._boops_O._melanura",0,6,0,1,12,4,8,8,6,12,12,12,12,12,12,12,8,12,12,6,7,11,12,12,12,12,11,6,6,5,4
"D._dentex_P._auriga_P._pagrus",1,0,0,0,2,0,0,1,0,1,1,3,1,0,0,5,0,3,8,0,0,0,1,1,0,0,1,0,0,0,0
"Diplodus_annularis",1,9,0,0,12,7,12,12,12,12,12,12,12,12,12,3,6,8,12,6,12,12,8,9,5,6,10,9,11,7,4
