"scientific_name","SPY213513","SPY213520","SPY221741","SPY221742","SPY213515","SPY213512","SPY213516","SPY221745","SPY221746","SPY213514","SPY213517","SPY221749","SPY221750","SPY221751","SPY221753","SPY202505","SPY202519","SPY202520","SPY213519","SPY213527","SPY221747","SPY221748","SPY213523","SPY213525","SPY221743","SPY221744","SPY213518","SPY213521","SPY213522","SPY221739","SPY221740"
"Gobius_bucchichi",311,375,0,0,28,42,21,0,0,22,173,252,19,576,115,0,0,0,0,0,0,40,0,20,160,36,0,0,0,0,0
"Gobius_cobitis",71,0,0,0,0,0,0,0,0,0,28,29,0,0,0,315,459,131,34,0,469,46,0,0,0,0,197,11,247,154,865
"Gobius_cruentatus",0,0,0,0,289,0,16,0,0,569,0,0,0,613,370,346,0,133,0,0,0,0,25,80,887,471,0,0,0,0,0
"Gobius_niger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,521,0,788,0,0,0,0,0
"Gobius_xanthocephalus",0,167,0,0,152,0,0,409,0,23,12,102,105,251,39,126,521,0,113,0,42,52,17,0,209,0,0,0,0,0,0
"Millerigobius_macrocephalus",0,0,0,0,150,744,0,141,54,0,57,103,274,293,0,0,0,0,264,0,0,108,0,16,0,0,0,0,0,0,0
"Odondebuenia_balearica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0
"Pomatoschistus_microps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,172,433,368,508
"Pomatoschistus_minutus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zebrus_zebrus",0,0,0,0,149,0,0,0,0,49,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zosterisessor_ophiocephalus",0,134,28,0,0,0,0,0,0,0,34,351,600,0,0,405,383,209,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xiphias_gladius",0,0,0,0,80,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,134,61,0,0,0,0,0,0,0
"Apogon_imberbis",0,0,0,0,0,0,0,242,503,21,188,403,464,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0
"Coris_julis",0,0,0,0,113,0,0,36,0,68,69,165,0,0,0,0,0,0,392,0,890,761,0,31,330,429,42,0,0,0,0
"Ctenolabrus_rupestris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,175,237,0,0,0,0,0,0,0,0,87,0,0,0,721
"Labrus_merula_Labrus_viridis",0,0,0,0,139,0,0,0,0,69,184,329,577,203,0,169,230,134,0,0,207,397,0,0,0,0,80,28,45,0,950
"Symphodus_bailloni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,168,65,0,0,0,0,0,0,0,0,285,44,27,229,0
"Symphodus_ocellatus",0,0,0,0,151,0,0,106,495,99,15,26,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Symphodus_sp.",0,0,0,0,0,0,0,118,753,63,519,204,970,0,620,0,643,572,47,0,622,33,0,0,0,0,70,33,80,0,0
