"Unique","Average.share","Individual","I.perc(%)"
0.0459,0.000299999999999995,0.0462,8.18
0.034,0.0326,0.0666,11.79
0.0925,0.0196,0.1121,19.84
0.0796,0.0102,0.0898,15.89
0.0966,0.0505,0.1471,26.04
0.0567,0.0462,0.1029,18.21
