"scientific_name","SPY213513","SPY213520","SPY221741","SPY221742","SPY213515","SPY213512","SPY213516","SPY221745","SPY221746","SPY213514","SPY213517","SPY221749","SPY221750","SPY221751","SPY221753","SPY202505","SPY202519","SPY202520","SPY213519","SPY213527","SPY221747","SPY221748","SPY213523","SPY213525","SPY221743","SPY221744","SPY213518","SPY213521","SPY213522","SPY221739","SPY221740"
"Solea sp.",0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,100,178,0,946,476,654,0,0
"Pomatomus saltatrix",0,641,0,0,0,0,0,0,0,955,918,161,0,20,0,103,0,0,129,0,426,369,24,0,0,0,247,78,0,0,0
"Pomatomus sp.",29,0,0,0,0,16,0,0,42,19,15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"Scombrinae",0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scombrini",0,0,0,0,0,0,0,0,0,328,370,0,0,0,0,0,0,222,0,0,0,0,11,83,0,674,163,212,206,0,0
"Trachydoras sp.",0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siluridae",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"Spicara smaris",0,0,0,0,0,0,501,67,977,0,498,297,467,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boops boops",0,328,0,0,0,0,244,408,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,187,633,833,148
"Pagrus major",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,38,0,11,0,0,0,0,0,0,0,0,0,15,0
"Rhabdosargus sarba",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sparidae",0,0,0,0,50,13,0,0,0,141,91,55,118,51,78,0,0,0,16,31,0,0,0,0,0,0,0,0,0,0,0
"Spariformes",0,0,0,0,0,0,0,0,13,0,44,0,32,13,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Callionymus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,242,450,0,0,0,0,0,0,439,47,0,0,73,120,298
"Callionymus lyra",0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mullus sp.",0,0,0,0,14,34,0,12,11,0,0,0,0,0,0,29,19,59,0,0,0,0,0,0,0,0,12,17,0,0,0
"Mullus surmuletus",0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,162,82,712,419,0,0,0,0,0,0,0
"Hippocampus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syngnathus sp.",0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,83,0,275,40,0,0,0,0,0,0,0,0,0,0,0,0
"Uranoscopus tosae",0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphyraena borealis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopteri",0,0,0,0,0,0,0,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Characiphysae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
