"","Total species richness _coef","Total species richness _pval","Cryptobenthic species richness _coef","Cryptobenthic species richness _pval","Threatened species richness _coef","Threatened species richness _pval","Commercial species richness _coef","Commercial species richness _pval"
"(Intercept)",46.9160349818324,0,12.7869189595597,0,-0.356677862150528,0.742055694701073,13.1612032443094,0
"ReserveY",-2.19479795097864,0.986167996168133,-1.71097041689461,0.797606172966866,-1.63807929271012e-06,1,0.928151892602658,0.94770224646326
"ConfinementLockdown",-9.23811700291696,0.178799467719449,-5.20946715392842,0.00408286078968201,-1.25276324959117,0.340391507065872,-3.11338552792561,0.0647109390182885
"PortY",3.31190134625319,0.910032556269365,0.941303725389453,0.954342013690489,1.22167098538086,0.297896130326542,4.57651048733787,0.00505919230256446
"ReserveY:ConfinementLockdown",-1.74630006172715,0.998378351131414,-0.412953994197159,0.999647377801666,0.916292150767869,0.755839802778375,-0.936167239375189,0.971621767938727
